description;label
Abrechnungsgrundpreis;C
ESt classic;C
DATEV-WEB-Dresser f. Kammern (Netz);C
DATEVnet Plus Einzelplatz;C
Lohn-Archiv Jahres-CD Erstabruf;C
DATEVasp Verb.-Geb.Telearbeitsplatz;C
Sem.OPOS Neueinst.2Tage;C
Abrechnungsgrundpreis;C
Druck-Einzelleistung;C
Abrechnungsgrundpreis;C
DATEVnet Plus Netz;C
Miete m DATEVnet Einzelp;C
DATEVnet Netz;C
DATEVnet Einzelplatz WBS;C
Handbuch FIBU II m.Ordner;C
Abrechnungsgrundpreis;C
DATEV online-Gebühr;C
Rechnungsein-/ ausgangbuch Int.;C
Mandantengrundgebühr ANLAG;C
LOVOR Internet;C
ESt classic;C
PI 3/2 Gebühr Kammer e:secure Erst;C
Abrechnungsgrundpreis;C
Druck-Einzelleistung;C
Abrechnungsgrundpreis;C
Druck-Einzelleistung;C
Auftragsvers. an AN Porto 20g(LOHN);C
1 - 250 Arbeitnehmer;C
251 - 500 Arbeitnehmer;C
1 - 250 Arbeitnehmer;C
251 - 500 Arbeitnehmer;C
1 - 250 Arbeitnehmer;C
251 - 500 Arbeitnehmer;C
Furnier Eiche 200 cm Länge;B
Furnier Eiche 150 cm Länge;B
Furnier Eiche 100 cm Länge;B
Furnier Eiche 50 cm Länge;B
Furnier Eiche 200 cm Länge;B
Furnier Eiche 150 cm Länge;B
Furnier Eiche 100 cm Länge;B
Furnier Eiche 50 cm Länge;B
Furnier Eiche 200 cm Länge;B
Furnier Eiche 150 cm Länge;B
Furnier Eiche 100 cm Länge;B
Furnier Eiche 50 cm Länge;B
Furnier Eiche 100 cm Länge;B
Furnier Eiche 100 cm Länge;B
Kunstrasen grün 3m breit;D
Schweinesteak;D
"Mineralwasser Medium 
12 x 1,0l PET";D
Pfand;D
Superdrachen;B
Turbo Flyer;B
Sturzflug-Geier;B
Eisvogel;B
Storch;B
Adler;B
Kostenlose Zugabe;B
Furnier Eiche 200 cm Länge;B
Furnier Eiche 150 cm Länge;B
Furnier Eiche 100 cm Länge;B
Furnier Eiche 50 cm Länge;B
Furnier Eiche 100 cm Länge;B
Auftragsvers. an AN Porto 20g (LuG);C
