Umsatz (ohne Soll/Haben-Kz);Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Buchungstext;Beleglink
;;;Abrechnungsgrundpreis;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;ESt classic;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;DATEV-WEB-Dresser f. Kammern (Netz);1000_ZFD_1P0_SIZE_00100KB.PDF
;;;DATEVnet Plus Einzelplatz;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Lohn-Archiv Jahres-CD Erstabruf;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;DATEVasp Verb.-Geb.Telearbeitsplatz;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Sem.OPOS Neueinst.2Tage;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Abrechnungsgrundpreis;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Druck-Einzelleistung;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Abrechnungsgrundpreis;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;DATEVnet Plus Netz;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Miete m DATEVnet Einzelp;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;DATEVnet Netz;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;DATEVnet Einzelplatz WBS;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Handbuch FIBU II m.Ordner;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Abrechnungsgrundpreis;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;DATEV online-Gebühr;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Rechnungsein-/ ausgangbuch Int.;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Mandantengrundgebühr ANLAG;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;LOVOR Internet;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;ESt classic;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;PI 3/2 Gebühr Kammer e:secure Erst;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Abrechnungsgrundpreis;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Druck-Einzelleistung;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Abrechnungsgrundpreis;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Druck-Einzelleistung;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Auftragsvers. an AN Porto 20g(LOHN);1000_ZFD_1P0_SIZE_00100KB.PDF
;;;1 - 250 Arbeitnehmer;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;251 - 500 Arbeitnehmer;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;1 - 250 Arbeitnehmer;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;251 - 500 Arbeitnehmer;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;1 - 250 Arbeitnehmer;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;251 - 500 Arbeitnehmer;1000_ZFD_1P0_SIZE_00100KB.PDF
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Kunstrasen grün 3m breit;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Schweinesteak;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;"Mineralwasser Medium 
12 x 1,0l PET";ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Pfand;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Superdrachen;1101_ZFD_RCD_FORMAT_KIDS.PDF
;;;Turbo Flyer;1101_ZFD_RCD_FORMAT_KIDS.PDF
;;;Sturzflug-Geier;1101_ZFD_RCD_FORMAT_KIDS.PDF
;;;Eisvogel;1101_ZFD_RCD_FORMAT_KIDS.PDF
;;;Storch;1101_ZFD_RCD_FORMAT_KIDS.PDF
;;;Adler;1101_ZFD_RCD_FORMAT_KIDS.PDF
;;;Kostenlose Zugabe;1101_ZFD_RCD_FORMAT_KIDS.PDF
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Auftragsvers. an AN Porto 20g (LuG);1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Kanzlei online;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Versandpauschale;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;LEXinform aktuell Mitglieder;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Auftragsversand Portokosten;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Versandpauschale ermäßigte MWSt;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Auftragsversand Portokosten;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;B/N-Abrechnung LOHN;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Auftragsvers. an AN Porto 50g (LuG);1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Auftragsvers. an AN Porto 20g (LuG);1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Auftragsbearbeitung;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;e-Shop-Anbindung;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Axxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx100xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxE;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;LEXinform aktuell Mitglieder;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Kanzlei online;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Versandpauschale;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Einschreiben;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;verauslagte Portogebühren(INFO-P.);1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Versandpauschale ermäßigte MWSt;1105_ZFD_1P0_FORMAT_KIDS.PDF
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-AR-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 150 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 100 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 50 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
;;;Furnier Eiche 200 cm Länge;9_Test-ZUGFeRD-ER-TEST_KV_Betrag.pdf
